identificador,titulo,resumen,etiquetas,creado,modificado,oculto
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-sexta-sesion-ordinaria,Décima Sexta Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 17 de junio 2020",Sesiones,2020-06-17 11:00:00,2020-06-17 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-septima-sesion-ordinaria,Décima Séptima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 24 de junio 2020",Sesiones,2020-06-24 11:00:00,2020-06-24 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-octava-sesion-ordinaria,Décima Octava Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 01 de julio 2020",Sesiones,2020-07-01 11:00:00,2020-07-01 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-decima-novena-sesion-ordinaria,Décima Novena Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 08 de julio 2020",Sesiones,2020-07-08 11:00:00,2020-07-08 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-vigesima-sesion-ordinaria,Vigésima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 17 de julio 2020",Sesiones,2020-07-17 11:00:00,2020-07-17 11:00:00,0
sesiones-pleno-del-tribunal-superior-de-justicia-2020-vigesima-primera-sesion-ordinaria,Vigésima Sesión Ordinaria,"Sesión Ordinaria del Pleno del TSJ, 03 de agosto 2020",Sesiones,2020-08-03 11:00:00,2020-08-03 11:00:00,0
sesiones-tribunal-constitucional,Sesiones del Tribunal Constitucional,Sesiones del Tribunal Constitucional,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-tribunal-constitucional-2020,Sesiones del Tribunal Constitucional en 2020,Sesiones del Tribunal Constitucional,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-tribunal-constitucional-2020-audiencia-de-alegatos-de-demanda-de-accion-de-inconstiticionalidad-local-ail-3-2020,Audiencia de Alegatos de Demanda de Acción de Inconstiticionalidad Local AIL-3/2020,"Audiencia de Alegatos, 06 de mayo 2020",Sesiones,2020-05-06 14:00:00,2020-05-06 14:00:00,0
sesiones-tribunal-constitucional-2020-primera-sesion-ordinaria-del-pleno-del-tribunal-constitucional-local-2020-05-11,Primera Sesión Ordinaria,"Sesión Ordinaria del Tribunal Constitucional, 11 de mayo 2020",Sesiones,2020-05-11 11:00:00,2020-05-11 11:00:00,0
sesiones-tribunal-constitucional-2020-audiencia-de-pruebas-y-alegatos-de-la-controversia-constitucional-cc-2-2019,Audiencia de Pruebas y Alegatos de la Controversia Constitucional CC-2/2019,"Audiencia de Alegatos, 06 de julio 2020",Sesiones,2020-06-06 10:30:00,2020-06-06 10:30:00,0
sesiones-tribunal-constitucional-2020-audiencia-de-pruebas-y-alegatos-de-la-controversia-constitucional-cc-3-2019,Audiencia de Pruebas y Alegatos de la Controversia Constitucional CC-3/2019,"Audiencia de Alegatos, 06 de julio 2020",Sesiones,2020-06-06 12:30:00,2020-06-06 12:30:00,0
sesiones-sala-civil-y-familiar,Sesiones de la Sala Civil y Familiar,Sesiones de la Sala Civil y Familiar,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-civil-y-familiar-2020,Sesiones de la Sala Civil y Familiar en 2020,Sesiones de la Sala Civil y Familiar,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-civil-y-familiar-2020-decima-tercera-sesion-ordinaria,Décima Tercera Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 08 de mayo 2020",Sesiones,2020-05-08 12:00:00,2020-05-08 12:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-cuarta-sesion-ordinaria,Décima Cuarta Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 21 de mayo 2020",Sesiones,2020-05-21 11:00:00,2020-05-21 11:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-quinta-sesion-ordinaria,Décima Quinta Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 28 de mayo 2020",Sesiones,2020-05-28 11:00:00,2020-05-28 11:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-sexta-sesion-ordinaria,Décima Sexta Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 04 de junio 2020",Sesiones,2020-06-04 11:00:00,2020-06-04 11:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-septima-sesion-ordinaria,Décima Séptima Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 11 de junio 2020",Sesiones,2020-06-11 11:00:00,2020-06-11 11:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-octava-sesion-ordinaria,Décima Octava Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 18 de junio 2020",Sesiones,2020-06-18 11:00:00,2020-06-18 11:00:00,0
sesiones-sala-civil-y-familiar-2020-decima-novena-sesion-ordinaria,Décima Novena Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 25 de junio 2020",Sesiones,2020-06-25 11:00:00,2020-06-25 11:00:00,0
sesiones-sala-civil-y-familiar-2020-vigesima-sesion-ordinaria,Vigésima Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 02 de julio 2020",Sesiones,2020-07-02 11:00:00,2020-07-02 11:00:00,0
sesiones-sala-civil-y-familiar-2020-vigesima-primera-sesion-ordinaria,Vigésima Primera Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 09 de julio 2020",Sesiones,2020-07-09 11:00:00,2020-07-09 11:00:00,0
sesiones-sala-civil-y-familiar-2020-vigesima-segunda-sesion-ordinaria,Vigésima Segunda Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 16 de julio 2020",Sesiones,2020-07-16 11:00:00,2020-07-16 11:00:00,0
sesiones-sala-civil-y-familiar-2020-vigesima-tercera-sesion-ordinaria,Vigésima Tercera Sesión Ordinaria,"Sesión Ordinaria de la Sala Civil y Familiar, 06 de agosto 2020",Sesiones,2020-08-06 11:00:00,2020-08-06 11:00:00,0
sesiones-sala-penal,Sesiones de la Sala Penal,Sesiones de la Sala Penal,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-penal-2020,Sesiones de la Sala Penal en 2020,Sesiones de la Sala Penal,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-penal-2020-votos-particulares,Votos Particulares de la Sala Penal,Votos Particulares de la Sala Penal en 2020,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-penal-2020-decima-tercera-sesion-ordinaria-primera-digital,Décimo Tercera Sesión Ordinaria Primera Digital,"Sesión Ordinaria de la Sala Penal, 14 de mayo 2020",Sesiones,2020-05-14 14:00:00,2020-05-14 14:00:00,0
sesiones-sala-penal-2020-decima-cuarta-sesion-ordinaria-segunda-digital,Décima Cuarta Sesión Ordinaria Segunda Digital,"Sesión Ordinaria de la Sala Penal, 22 de mayo 2020",Sesiones,2020-05-22 11:00:00,2020-05-22 11:00:00,0
sesiones-sala-penal-2020-decima-quinta-sesion-ordinaria,Décima Quinta Sesión Ordinaria,"Sesión Ordinaria de la Sala Penal, 26 de mayo 2020",Sesiones,2020-05-26 11:00:00,2020-05-26 11:00:00,0
sesiones-sala-penal-2020-decima-sexta-sesion-ordinaria,Décima Sexta Sesión Ordinaria,"Sesión Ordinaria de la Sala Penal, 02 de junio 2020",Sesiones,2020-06-02 11:00:00,2020-06-02 11:00:00,0
sesiones-sala-penal-2020-decima-septima-sesion-ordinaria,Décima Séptima Sesión Ordinaria,"Sesión Ordinaria de la Sala Penal, 09 de junio 2020",Sesiones,2020-06-09 11:00:00,2020-06-09 11:00:00,0
sesiones-sala-penal-2020-decima-octava-sesion-ordinaria,Décima Octava Sesión Ordinaria,"Sesión Ordinaria de la Sala Penal, 16 de junio 2020",Sesiones,2020-06-16 11:00:00,2020-06-16 11:00:00,0
sesiones-sala-penal-2020-decima-novena-sesion-ordinaria,Décima Novena Sesión Ordinaria,"Sesión Ordinaria de la Sala Penal, 23 de junio 2020",Sesiones,2020-06-23 11:00:00,2020-06-23 11:00:00,0
sesiones-sala-penal-2020-vigesima-sesion-ordinaria-tercera-digital,Vigésima Sesión Ordinaria Tercera Digital,"Sesión Ordinaria de la Sala Penal, 30 de junio 2020",Sesiones,2020-06-30 11:00:00,2020-06-30 11:00:00,0
sesiones-sala-penal-2020-vigesima-primera-sesion-ordinaria-cuarta-digital,Vigésima Primera Sesión Ordinaria Cuarta Digital,"Sesión Ordinaria de la Sala Penal, 07 de julio 2020",Sesiones,2020-07-07 11:00:00,2020-07-07 11:00:00,0
sesiones-sala-penal-2020-vigesima-segunda-sesion-ordinaria-quinta-digital,Vigésima Segunda Sesión Ordinaria Quinta Digital,"Sesión Ordinaria de la Sala Penal, 14 de julio 2020",Sesiones,2020-07-14 11:00:00,2020-07-14 11:00:00,0
sesiones-sala-penal-2020-vigesima-tercera-sesion-ordinaria-sexta-digital,Vigésima Tercera Sesión Ordinaria Sexta Digital,"Sesión Ordinaria de la Sala Penal, 04 de agosto 2020",Sesiones,2020-08-04 11:00:00,2020-08-04 11:00:00,0
sesiones-sala-regional,Sesiones de la Sala Regional,Sesiones de la Sala Regional,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-regional-2020,Sesiones de la Sala Regional en 2020,Sesiones de la Sala Regional,Sesiones,2020-01-01 12:00:00,2020-01-01 12:00:00,1
sesiones-sala-regional-2020-decima-primera-sesion-ordinaria,Décima Primera Sesión Ordinaria,"Sesión Ordinaria de la Sala Regional, 08 de mayo 2020",Sesiones,2020-05-08 11:00:00,2020-05-08 11:00:00,0
sesiones-sala-regional-2020-decima-segunda-sesion-ordinaria,Décima Segunda Sesión Ordinaria,"Sesión Ordinaria de la Sala Regional, 14 de mayo 2020",Sesiones,2020-05-14 11:00:00,2020-05-14 11:00:00,0
